player_name,ath__athleticism_score,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq,dominance__cpm,position,ath__athleticism_source
Obi Toppin,85.83,81,220,86,599,0.340567613,0.121869783,0.035058431,0.20033389,0.293823038,0.494156928,0.462437396,0.784313725,0.285714286,0.45,0.318181818,1545,4.3,0.43,60.4,0.343880161,8.2,-1.2,0,4,7.4,4.3,34.1,2.6,7.5,1.5,-0.2,G,imputed
Patrick Baldwin Jr.,76.41,84,220,85.75,35,0.285714286,0.057142857,0,0.114285714,0.542857143,0.657142857,0.342857143,0.6,0,0.75,0.526315789,0,0,0,56.07222222,0,5,0.144859813,0,0,0,0,0,0,0,0,-0.009009009,F,measured
Paul George,85.83,80,220,83.25,570,0.140350877,0.11754386,0.271929825,0.085964912,0.38245614,0.468421053,0.257894737,0.7375,0.419354839,0.285714286,0.376146789,1334,5.6,0.56,64.3,0.48307229,9.1,1.6,20.1,24.5,0,6.2,13.8,4.6,0,9.4,2.3,F,imputed
Seth Lundy,89.67,78,220,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.51612903,0,5,-0.041935484,0,0,0,0,0,0,0,0,-0.483870968,G-F,measured
Sidy Cissoko,90.48,78,220,81.75,30,0.266666667,0.266666667,0.033333333,0.166666667,0.266666667,0.433333333,0.533333333,0.75,0,0.4,0.125,0,0,0,59.91,0,5,-0.146052632,0,0,0,0,0,0,0,0,-0.125,G,measured
Spencer Jones,85.83,79,220,82,34,0.205882353,0.235294118,0.058823529,0.323529412,0.176470588,0.5,0.441176471,0.571428571,0.5,0,0.166666667,125,1.4,0.14,56.07222222,0.111657422,5,0.144859813,0,0,0,0,0,0,0,0,-0.009009009,F,imputed
De'Andre Hunter,89.825,80,221,86,762,0.18503937,0.199475066,0.106299213,0.152230971,0.354330709,0.50656168,0.384514436,0.617021277,0.49382716,0.370689655,0.422222222,1740,2.2,0.22,72.9,0.368445522,6.2,-1.1,7.7,8.1,6.3,3.7,23,8.1,5.1,5.65,-0.1,F-C,imputed
Kai Jones,89.695,83,221,85,109,0.688073394,0.19266055,0.073394495,0.009174312,0.036697248,0.04587156,0.880733945,0.946666667,0.375,0,0.25,468,2.9,0.29,53.04545455,0.138594892,4.4,0.763636364,0,0,0,0,0,0,23.5,0,0.895454545,F-C,imputed
Kyle Kuzma,82.29,81,221,79,848,0.278301887,0.251179245,0.100235849,0.100235849,0.265330189,0.365566038,0.529481132,0.699152542,0.329411765,0.341176471,0.293333333,1936,3,0.3,38.2,0.393133419,1.5,-1.2,5.5,15.7,2.2,5,20.3,6.7,6.1,3.9,-3,F,measured
Torrey Craig,85.83,79,221,84,90,0.166666667,0.088888889,0.011111111,0.322222222,0.411111111,0.733333333,0.255555556,0.666666667,0,0.310344828,0.405405405,314,3.4,0.34,56.07222222,0.155456748,5.1,0.144859813,0,0,0,0,51.1,0,0,0,-0.009009009,F,imputed
