player_name,position,ath__athleticism_score,ath__athleticism_source,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq
Cam Thomas,F,80.625,imputed,75,210.0,78.5,454,0.176211454,0.204845815,0.189427313,0.052863436,0.374449339,0.427312775,0.381057269,0.575,0.488372093,0.25,0.364705882,781,4.3,0.43,72.2,0.7129915896328909,5.4,-2.9,11.9,30.4,0.0,0.0,14.0,18.7,1.7,5.5
Cam Whitmore,F,96.44,measured,78,230.0,80.5,403,0.302729529,0.163771712,0.079404467,0.104218362,0.349875931,0.454094293,0.466501241,0.631147541,0.4375,0.404761905,0.340425532,827,2.2,0.22,59.2,0.3991041088284725,1.8,-1.2,7.6,13.8,0.0,0.0,27.1,7.2,4.8,0.0
Cameron Johnson,G,84.54,measured,80,210.0,82.0,747,0.224899598,0.123159304,0.105756359,0.124497992,0.421686747,0.546184739,0.348058902,0.714285714,0.417721519,0.430107527,0.377777778,1800,5.3,0.53,79.1,0.4707819862549404,8.5,-0.7,4.9,14.5,1.5,0.0,21.9,15.0,3.7,10.2
Cameron Payne,G,76.32,measured,75,183.0,79.25,446,0.170403587,0.192825112,0.062780269,0.062780269,0.511210762,0.573991031,0.3632287,0.473684211,0.321428571,0.321428571,0.368421053,1090,7.9,0.79,71.0,0.5008099940006864,7.5,0.0,4.2,38.4,0.0,0.0,26.3,5.0,0.0,2.5
Caris LeVert,G,80.625,imputed,79,205.0,82.0,599,0.325542571,0.150250417,0.050083472,0.150250417,0.323873122,0.474123539,0.475792988,0.646153846,0.266666667,0.422222222,0.350515464,1596,6.6,0.66,52.7,0.3940226714124153,6.3,-0.2,8.45,18.05,0.0,0.0,26.4,4.9,4.9,6.5
Cason Wallace,C-F,76.66,measured,75,195.0,80.5,489,0.329243354,0.198364008,0.047034765,0.196319018,0.229038855,0.425357873,0.527607362,0.658385093,0.304347826,0.333333333,0.375,1876,5.5,0.55,57.1,0.1638633821899652,5.1,1.5,4.8,14.8,2.7,0.0,31.7,5.7,7.7,2.3
Charles Bassey,C-F,94.825,measured,82,230.0,87.5,117,0.692307692,0.273504274,0.034188034,0.0,0.0,0.0,0.965811966,0.617283951,0.25,0.0,0.0,376,1.0,0.1,47.86923076923077,0.211572992036911,1.7,1.3076923076923077,0.0,0.0,24.8,0.0,0.0,0.0,25.5,0.0
Chet Holmgren,F,89.695,imputed,85,208.0,90.0,341,0.357771261,0.2228739,0.079178886,0.058651026,0.278592375,0.337243402,0.580645161,0.721311475,0.296296296,0.45,0.368421053,877,2.8,0.28,56.0,0.3650097440860709,7.5,3.1,5.5,2.6,12.1,4.4,22.1,0.0,9.4,9.2
Chris Boucher,F,85.83,imputed,81,200.0,88.0,370,0.321621622,0.108108108,0.048648649,0.235135135,0.286486486,0.521621622,0.42972973,0.722689076,0.5,0.390804598,0.339622642,862,1.5,0.15,60.8,0.3094738970330108,6.5,0.0,0.0,0.0,5.5,0.0,38.1,3.2,11.9,0.0
Chris Livingston,G,89.05,measured,78,208.0,83.0,27,0.518518519,0.185185185,0.0,0.111111111,0.185185185,0.296296296,0.703703704,0.571428571,0.0,0.0,0.0,0,0.0,0.0,59.91,0.0,5.0,-0.1460526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
