player_id,player_name,team,position,height_raw,weight_raw,height_inches,weight_lbs
1631221,Collin Gillespie,Suns,Guard,6-1,195,73,195.0
203497,Rudy Gobert,Timberwolves,Center,7-1,258,85,258.0
1630692,Jordan Goodwin,Suns,Guard,6-3,215,75,215.0
203932,Aaron Gordon,Nuggets,Forward,6-8,235,80,235.0
201569,Eric Gordon,76ers,Guard,6-3,215,75,215.0
1641789,Jazian Gortman,,Guard,6-2,184,74,184.0
203924,Jerami Grant,Trail Blazers,Forward,6-7,213,79,213.0
1631260,AJ Green,Bucks,Guard,6-4,190,76,190.0
203110,Draymond Green,Warriors,Forward,6-6,230,78,230.0
1630224,Jalen Green,Suns,Guard,6-4,186,76,186.0
1629750,Javonte Green,Pistons,Guard,6-5,205,77,205.0
201145,Jeff Green,Rockets,Forward,6-8,235,80,235.0
1630182,Josh Green,Hornets,Guard,6-5,200,77,200.0
1629656,Quentin Grimes,76ers,Guard,6-4,210,76,210.0
1631243,Mouhamed Gueye,Hawks,Forward,6-10,210,82,210.0
1629060,Rui Hachimura,Lakers,Forward,6-8,230,80,230.0
1630169,Tyrese Haliburton,Pacers,Guard,6-5,185,77,185.0
1641790,PJ Hall,Grizzlies,Center,6-10,245,82,245.0
203501,Tim Hardaway Jr.,Nuggets,Guard-Forward,6-5,205,77,205.0
201935,James Harden,Clippers,Guard,6-5,220,77,220.0
1630702,Jaden Hardy,Mavericks,Guard,6-3,198,75,198.0
1641989,Elijah Harkless,Jazz,Guard,6-3,195,75,195.0
1631199,Ron Harper Jr.,Celtics,Guard-Forward,6-4,233,76,233.0
203914,Gary Harris,Bucks,Guard,6-4,210,76,210.0
202699,Tobias Harris,Pistons,Forward,6-8,226,80,226.0
1628404,Josh Hart,Knicks,Guard,6-5,215,77,215.0
1628392,Isaiah Hartenstein,Thunder,Center-Forward,7-0,250,84,250.0
1630573,Sam Hauser,Celtics,Forward,6-7,217,79,217.0
1641722,Jordan Hawkins,Pelicans,Guard,6-5,190,77,190.0
1629637,Jaxson Hayes,Lakers,Center-Forward,7-0,220,84,220.0
1630165,Killian Hayes,Cavaliers,Guard,6-5,195,77,195.0
1630703,Scoot Henderson,Trail Blazers,Guard,6-3,207,75,207.0
1641707,Taylor Hendricks,Jazz,Forward,6-9,215,81,215.0
1629639,Tyler Herro,Heat,Guard,6-5,195,77,195.0
1627741,Buddy Hield,Warriors,Guard,6-4,220,76,220.0
1629312,Haywood Highsmith,Nets,Forward,6-5,220,77,220.0
1628988,Aaron Holiday,Rockets,Guard,6-0,185,72,185.0
201950,Jrue Holiday,Trail Blazers,Guard,6-4,220,76,220.0
1641842,Ronald Holland II,Pistons,Forward,6-8,206,80,206.0
1626158,Richaun Holmes,Wizards,Forward,6-9,235,81,235.0
1631096,Chet Holmgren,Thunder,Center-Forward,7-1,208,85,208.0
1641720,Jalen Hood-Schifino,76ers,Guard,6-5,210,77,210.0
201143,Al Horford,Warriors,Center-Forward,6-9,240,81,240.0
1629659,Talen Horton-Tucker,Bulls,Guard,6-4,234,76,234.0
1631216,Caleb Houstan,Hawks,Guard,6-8,205,80,205.0
1641724,Jett Howard,Magic,Guard,6-6,215,78,215.0
1628989,Kevin Huerter,Bulls,Guard-Forward,6-7,198,79,198.0
1630643,Jay Huff,Pacers,Center,7-1,240,85,240.0
1630574,Ariel Hukporti,Knicks,Center,7-0,246,84,246.0
1629631,De'Andre Hunter,Cavaliers,Forward-Guard,6-8,221,80,221.0
1630538,Bones Hyland,Timberwolves,Guard,6-2,169,74,169.0
1642345,Oso Ighodaro,Suns,Forward,6-11,235,83,235.0
204060,Joe Ingles,Timberwolves,Forward-Guard,6-8,220,80,220.0
1627742,Brandon Ingram,Raptors,Forward,6-8,190,80,190.0
1631127,Harrison Ingram,Spurs,Forward,6-5,230,77,230.0
202681,Kyrie Irving,Mavericks,Guard,6-2,195,74,195.0
1628371,Jonathan Isaac,Magic,Forward,6-10,230,82,230.0
