,Year,Player,HEIGHT,WEIGHT,POSITION,bSPARQ,NBA %
105,2024,Jared McCain,6' 2.00'',203.2,WING,73.93,9.70%
106,2024,Jaxson Robinson,6' 4.75'',188.6,WING,77.51,20.50%
107,2024,Jaylen Wells,6' 6.50'',206.2,WING,78.78,25.70%
108,2024,Jaylon Tyson,6' 5.50'',218.2,WING,86.53,64.60%
109,2024,Jesse Edwards,6' 11.50'',236,BIG,94.12,72.50%
110,2024,Johnny Furphy,6' 7.50'',188.8,WING,70.04,3.50%
111,2024,Jonathan Mogbo,6' 6.25'',217.2,BIG,90.6,55.60%
112,2024,JT Toppin,6' 7.00'',221,BIG,85.12,28.40%
113,2024,Juan Nunez,6' 4'',205.6,PG,67.3,6.90%
114,2024,Justin Edwards,6' 6.00'',209.4,WING,80.62,34.10%
115,2024,Kel'el Ware,6' 11.75'',230,BIG,96.9,83.20%
116,2024,Keshad Johnson,6' 6.25'',224,BIG,92.79,66.50%
117,2024,KJ Simpson,6' 0.25'',187,PG,82.75,83.20%
118,2024,Kyle Filipowski,6' 10.75'',229.8,BIG,84.22,24.60%
119,2024,Kyshawn George,6' 7.00'',208.8,WING,78.42,24.20%
120,2024,Mark Sears,5' 10.25'',192.4,PG,83.61,86.40%
121,2024,Matas Buzelis,6' 8.75'',197,WING,82.96,46.10%
122,2024,Melvin Ajinca,6' 7.25'',213.8,WING,78.8,25.70%
123,2024,Michael Ajayi,6' 5.75'',227.8,WING,83.78,50.40%
124,2024,N'Faly Dante,6' 10.00'',260.2,BIG,92.72,66.20%
125,2024,Nae'Qwan Tomlin,6' 8.25'',205,BIG,78.35,7.30%
126,2024,Nikola Djurisic,6' 7.00'',208.8,WING,79.46,28.70%
127,2024,Nique Clifford,6' 5.00'',198.6,WING,81.61,39.10%
128,2024,Oso Ighodaro,6' 9.50'',222,BIG,99.74,90.80%
129,2024,Pacome Dadiet,6' 7.75'',216.8,WING,85.07,57.20%
130,2024,Payton Sandfort,6' 6.25'',212,WING,68.74,2.30%
131,2024,Pelle Larsson,6' 5.25'',212.4,WING,86.95,66.70%
132,2024,PJ Hall,6' 8.25'',239.6,BIG,100.14,91.70%
133,2024,Quinten Post,7' 0.00'',244.4,BIG,80.92,13.20%
134,2024,Reece Beekman,6' 1.25'',196.4,PG,80.96,75.10%
135,2024,Reed Sheppard,6' 1.75'',181.6,PG,80.96,75.10%
136,2024,Ron Holland II,6' 6.50'',196.8,WING,80.97,35.90%
137,2024,Ryan Dunn,6' 6.25'',213.6,BIG,90.38,54.50%
138,2024,Stephon Castle,6' 5.50'',210,WING,81.97,40.90%
139,2024,Tidjane Salaun,6' 8.75'',217.4,BIG,81.9,16.10%
140,2024,Trentyn Flowers,6' 6.50'',201.4,WING,91.42,84.70%
141,2024,Trevon Brazile,6' 9.25'',215,BIG,93.01,67.60%
142,2024,Trey Alexander,6' 3.25'',187,WING,71.41,5.10%
143,2024,Tristan Da Silva,6' 8.25'',216.8,BIG,83.86,23.10%
