player_name,team,position,height_in,wingspan_in,length_in
LaMelo Ball,CHA,PG,78.0,80.0,2.0
Chris Duarte,,SG,77.0,79.0,2.0
Jeremiah Robinson-Earl,,PF,79.75,81.75,2.0
Keyonte George,UTA,SG,76.0,78.0,2.0
Drew Eubanks,SAC,C,81.0,83.0,2.0
Danuel House Jr.,,SF,78.0,80.0,2.0
Moritz Wagner,ORL,C,82.0,84.0,2.0
Rob Dillingham,MIN,PG,73.0,75.0,2.0
Jalen Suggs,ORL,PG,75.5,77.5,2.0
Nikola Topić,OKC,PG,78.0,80.0,2.0
Walter Clayton Jr.,UTA,PG,74.0,76.0,2.0
Egor Dëmin,BKN,PG,80.25,82.25,2.0
Jaden McDaniels,MIN,SF,81.0,83.0,2.0
Baylor Scheierman,BOS,SG,78.25,80.25,2.0
Cam Spencer,MEM,SG,75.0,77.0,2.0
Fred VanVleet,HOU,PG,72.0,74.0,2.0
Malachi Flynn,,PG,73.0,75.0,2.0
Ziaire Williams,,SF,80.25,82.25,2.0
Noa Essengue,CHI,PF,81.0,83.0,2.0
Sion James,CHA,SF,76.5,78.5,2.0
Cole Swider,,PF,81.0,83.0,2.0
Jose Alvarado,NOP,PG,71.0,73.0,2.0
Dennis Smith Jr.,,PG,73.25,75.0,1.75
Liam McNeeley,CHA,SF,78.75,80.5,1.75
Rocco Zikarsky,MIN,C,87.0,88.75,1.75
Brandin Podziemski,GSW,SG,75.75,77.5,1.75
Austin Reaves,LAL,SG,76.5,78.25,1.75
Anthony Black,ORL,PG,77.75,79.5,1.75
Hansen Yang,POR,C,85.0,86.75,1.75
Tyler Kolek,NYK,PG,73.25,74.75,1.5
Jimmy Butler III,GSW,SF,78.0,79.5,1.5
Oso Ighodaro,PHX,C,81.5,83.0,1.5
Pacôme Dadiet,NYK,SG,79.5,81.0,1.5
Sam Merrill,CLE,SG,75.5,77.0,1.5
Reed Sheppard,HOU,PG,73.75,75.25,1.5
T.J. McConnell,IND,PG,72.5,74.0,1.5
Coby White,CHI,PG,75.5,77.0,1.5
Jared McCain,PHI,SG,74.0,75.5,1.5
Maxi Kleber,LAL,C,81.25,82.75,1.5
Max Shulga,BOS,SG,76.25,77.75,1.5
Marvin Bagley III,WAS,PF,82.5,84.0,1.5
Stephen Curry,GSW,PG,74.0,75.5,1.5
Kenrich Williams,OKC,SF,78.0,79.25,1.25
KJ Martin,UTA,SF,78.0,79.25,1.25
Joe Harris,,SG,76.75,78.0,1.25
Kon Knueppel,CHA,SF,77.0,78.25,1.25
Kobe Sanders,LAC,SG,79.0,80.25,1.25
Matas Buzelis,CHI,PF,80.75,82.0,1.25
Dalano Banton,,SG,81.0,82.25,1.25
Kevin Huerter,CHI,SG,78.25,79.5,1.25
Domantas Sabonis,SAC,C,82.0,83.0,1.0
Filip Petrusev,,PF,83.0,84.0,1.0
Evan Fournier,,SG,78.5,79.5,1.0
Maxime Raynaud,SAC,C,84.25,85.25,1.0
