player_id,player_name,team,position,portability_score,portability_source,age,mp
1629021,Moritz Wagner,,F-C,6.5,provided_list,28.0,564.0
1630532,Franz Wagner,,F,6.2,provided_list,24.0,2023.0
1641783,Tristan da Silva,,F,6.2,provided_list,24.0,1629.0
1628976,Wendell Carter Jr.,,C-F,4.2,provided_list,26.0,1758.0
1629048,Goga Bitadze,,C-F,4.2,provided_list,26.0,1430.0
1630679,Ethan Thompson,,G,5.0,default_5.0,,
1630169,Tyrese Haliburton,,G,9.4,provided_list,25.0,2451.0
1631097,Bennedict Mathurin,,G-F,2.2,provided_list,23.0,2149.0
1630167,Obi Toppin,,F,8.2,provided_list,27.0,1545.0
1629614,Andrew Nembhard,,G-F,6.0,provided_list,26.0,1881.0
1628418,Thomas Bryant,,C-F,4.8,provided_list,28.0,963.0
1641716,Jarace Walker,,F,9.1,provided_list,22.0,1187.0
1642402,Enrique Freeman,,F,1.5,provided_list,25.0,181.0
204456,T.J. McConnell,,G,2.6,provided_list,33.0,1415.0
1642484,RayJ Dennis,,G,5.0,default_5.0,,
1642277,Johnny Furphy,,G,1.4,provided_list,21.0,379.0
1628396,Tony Bradley,,C-F,5.0,default_5.0,,
201949,James Johnson,,F,5.0,default_5.0,,
1630543,Isaiah Jackson,,F,5.0,default_5.0,,
1630174,Aaron Nesmith,,G-F,6.5,provided_list,26.0,1123.0
1641767,Ben Sheppard,,G,5.4,provided_list,24.0,1228.0
1631245,Quenton Jackson,,G,3.6,provided_list,27.0,381.0
1626167,Myles Turner,,C-F,6.7,provided_list,29.0,2174.0
1627783,Pascal Siakam,,F,6.6,provided_list,31.0,2548.0
1630178,Tyrese Maxey,,G,5.4,provided_list,25.0,1960.0
203083,Andre Drummond,,C,0.2,provided_list,32.0,751.0
1629656,Quentin Grimes,,G,6.0,provided_list,25.0,2013.0
200768,Kyle Lowry,,G,7.6,provided_list,39.0,659.0
202331,Paul George,,F,9.1,provided_list,35.0,1334.0
1626162,Kelly Oubre Jr.,,F-G,0.7,provided_list,30.0,2078.0
1630288,Jeff Dowtin Jr.,,G,3.5,provided_list,28.0,621.0
1630215,Jared Butler,,G,5.8,provided_list,25.0,1044.0
1641741,Ricky Council IV,,G,0.4,provided_list,24.0,1250.0
1629022,Lonnie Walker IV,,G-F,5.7,provided_list,27.0,477.0
1641720,Jalen Hood-Schifino,,G,1.2,provided_list,22.0,315.0
1642348,Justin Edwards,,F,1.6,provided_list,22.0,1155.0
1642272,Jared McCain,,G,7.2,provided_list,21.0,592.0
203954,Joel Embiid,,C-F,8.3,provided_list,31.0,574.0
201569,Eric Gordon,,G,7.4,provided_list,37.0,768.0
1627824,Guerschon Yabusele,,F,5.7,provided_list,30.0,1895.0
1641737,Adem Bona,,F,1.3,provided_list,22.0,905.0
1642024,Alex Reese,,F-C,2.7,provided_list,26.0,216.0
1626220,Royce O'Neale,,F,8.2,provided_list,32.0,1837.0
1642346,Ryan Dunn,,F,0.4,provided_list,23.0,1410.0
1626164,Devin Booker,,G,6.0,provided_list,29.0,2795.0
1630208,Nick Richards,,C,0.3,provided_list,28.0,1256.0
203078,Bradley Beal,,G,5.2,provided_list,32.0,1702.0
1642345,Oso Ighodaro,,F,3.5,provided_list,23.0,1045.0
1628960,Grayson Allen,,G,9.0,provided_list,30.0,1544.0
1627814,Damion Lee,,G-F,1.5,provided_list,33.0,144.0
1629626,Bol Bol,,C-F,6.1,provided_list,26.0,448.0
1631221,Collin Gillespie,,G,9.1,provided_list,26.0,461.0
1631102,TyTy Washington Jr.,,G,0.2,provided_list,24.0,118.0
1641779,Jalen Bridges,,F,5.0,default_5.0,,
1628998,Cody Martin,,F,2.4,provided_list,30.0,1173.0
203995,Vasilije Micic,,G,3.0,provided_list,32.0,785.0
1626145,Tyus Jones,,G,8.2,provided_list,29.0,2174.0
203486,Mason Plumlee,,F-C,4.3,provided_list,35.0,1300.0
