team,player_name,player_id,position,name_key,unnamed:_0,year,player,height,weight,position_bsp,bsparq,nba_pct,bsparq_imputed,bsparq_source
New Orleans Pelicans,Elfrid Payton,203901,G,elfrid payton,616,2014,Elfrid Payton,6' 2.5'',185.4,PG,80.25,71.40%,80.25,measured
Utah Jazz,Elijah Harkless,1641989,G,elijah harkless,,,,,,,,,80.625,imputed
Chicago Bulls,Emanuel Miller,1641801,F,emanuel miller,,,,,,,,,85.83,imputed
Cleveland Cavaliers,Emoni Bates,1641734,F,emoni bates,168,2023,Emoni Bates,6' 8.25'',179.2,WING,70.19,3.60%,70.19,measured
Indiana Pacers,Enrique Freeman,1642402,F,enrique freeman,95,2024,Enrique Freeman,6' 7.25'',212,BIG,86.65,35.50%,86.65,measured
Philadelphia 76ers,Eric Gordon,201569,G,eric gordon,913,2008,Eric Gordon,6' 2'',222,WING,93.27,89.80%,93.27,measured
Orlando Magic,Ethan Thompson,1630679,G,ethan thompson,,,,,,,,,80.625,imputed
Cleveland Cavaliers,Evan Mobley,1630596,C,evan mobley,,,,,,,,,93.27,imputed
Orlando Magic,Franz Wagner,1630532,F,franz wagner,,,,,,,,,85.83,imputed
Houston Rockets,Fred VanVleet,1627832,G,fred vanvleet,,,,,,,,,80.625,imputed
Los Angeles Lakers,Gabe Vincent,1629216,G,gabe vincent,,,,,,,,,80.625,imputed
Toronto Raptors,Garrett Temple,202066,G-F,garrett temple,,,,,,,,,84.81,imputed
Atlanta Hawks,Garrison Mathews,1629726,G,garrison mathews,,,,,,,,,80.625,imputed
Orlando Magic,Gary Harris,203914,G,gary harris,,,,,,,,,80.625,imputed
Golden State Warriors,Gary Payton II,1627780,G,gary payton ii,526,2016,Gary Payton II,6' 2'',183.8,PG,79.81,69.00%,79.81,measured
Milwaukee Bucks,Gary Trent Jr.,1629018,G,gary trent jr,,,,,,,,,80.625,imputed
Atlanta Hawks,Georges Niang,1627777,F,georges niang,527,2016,Georges Niang,6' 6.75'',230.8,BIG,79.9,10.60%,79.9,measured
Memphis Grizzlies,GG Jackson,1641713,F,gg jackson,169,2023,GG Jackson,6' 8.25'',214.4,BIG,88.55,45.00%,88.55,measured
Milwaukee Bucks,Giannis Antetokounmpo,203507,F,giannis antetokounmpo,,,,,,,,,85.83,imputed
Orlando Magic,Goga Bitadze,1629048,C-F,goga bitadze,,,,,,,,,89.695,imputed
Toronto Raptors,Gradey Dick,1641711,G-F,gradey dick,170,2023,Gradey Dick,6' 6.25'',204,WING,81.15,36.70%,81.15,measured
Charlotte Hornets,Grant Williams,1629684,F,grant williams,365,2019,Grant Williams,6' 5.75'',240.2,BIG,84.77,26.90%,84.77,measured
Phoenix Suns,Grayson Allen,1628960,G,grayson allen,427,2018,Grayson Allen,6' 3'',198,WING,86.39,64.00%,86.39,measured
Philadelphia 76ers,Guerschon Yabusele,1627824,F,guerschon yabusele,,,,,,,,,85.83,imputed
Golden State Warriors,Gui Santos,1630611,F,gui santos,,,,,,,,,85.83,imputed
San Antonio Spurs,Harrison Barnes,203084,F,harrison barnes,715,2012,Harrison Barnes,6' 7'',227.8,WING,108.67,100.00%,108.67,measured
