team,player_name,player_id,position,name_key,unnamed:_0,year,player,height,weight,position_bsp,bsparq,nba_pct
Los Angeles Clippers,Patrick Baldwin Jr.,1631116,F,patrick baldwin jr,249.0,2022.0,Patrick Baldwin Jr.,6' 9.25'',230.8,WING,76.41,16.60%
Los Angeles Clippers,Norman Powell,1626181,G,norman powell,583.0,2015.0,Norman Powell,6' 3'',215.4,WING,92.24,87.20%
Los Angeles Clippers,Ben Simmons,1627732,G-F,ben simmons,,,,,,,,
Los Angeles Clippers,Nicolas Batum,201587,G-F,nicolas batum,,,,,,,,
Los Angeles Clippers,Ivica Zubac,1627826,C,ivica zubac,,,,,,,,
Los Angeles Clippers,Derrick Jones Jr.,1627884,F,derrick jones jr,,,,,,,,
Los Angeles Clippers,Patty Mills,201988,G,patty mills,881.0,2009.0,Patty Mills,5' 11.25'',175.4,PG,70.11,14.90%
Los Angeles Lakers,Jarred Vanderbilt,1629020,F,jarred vanderbilt,,,,,,,,
Los Angeles Lakers,Dalton Knecht,1642261,F,dalton knecht,89.0,2024.0,Dalton Knecht,6' 5.25'',212.2,WING,87.92,71.20%
Los Angeles Lakers,Gabe Vincent,1629216,G,gabe vincent,,,,,,,,
Los Angeles Lakers,Bronny James,1642355,G,bronny james,83.0,2024.0,Bronny James,6' 1.50'',210.4,WING,89.5,77.90%
Los Angeles Lakers,Christian Koloko,1631132,C,christian koloko,214.0,2022.0,Christian Koloko,6' 10.75'',221.0,BIG,83.99,23.60%
Los Angeles Lakers,Jaxson Hayes,1629637,C-F,jaxson hayes,372.0,2019.0,Jaxson Hayes,6' 10.25'',218.6,BIG,81.12,13.80%
Los Angeles Lakers,Maxi Kleber,1628467,F,maxi kleber,,,,,,,,
Los Angeles Lakers,Austin Reaves,1630559,G,austin reaves,262.0,2021.0,Austin Reaves,6'4.5'',197.2,WING,71.35,5.00%
Los Angeles Lakers,Dorian Finney-Smith,1627827,F,dorian finney smith,525.0,2016.0,Dorian Finney-Smith,6' 6.5'',212.6,WING,91.11,83.70%
