player_name,player_id,athleticism_score,athleticism_source,position
Anfernee Simons,1629014,80.5,measured,G
Deandre Ayton,1629028,,imputed,C
Matisse Thybulle,1629680,,imputed,G-F
Dalano Banton,1630625,,imputed,F
Deni Avdija,1630166,,imputed,F
Jerami Grant,203924,,imputed,F
Justin Minaya,1631303,,imputed,F
Bryce McGowens,1631121,75.29,measured,G
Shaedon Sharpe,1631101,,imputed,G
Rayan Rupert,1641712,74.99,measured,G-F
Donovan Clingan,1642270,94.5,measured,C
Kris Murray,1631200,84.85,measured,F
Sidy Cissoko,1631321,90.48,measured,G
Duop Reath,1641871,,imputed,C
Toumani Camara,1641739,84.95,measured,F
Jabari Walker,1631133,85.17,measured,F
Robert Williams III,1629057,,imputed,C-F
Malik Monk,1628370,,imputed,G
Terence Davis,1629056,78.72,measured,G
Isaac Jones,1642403,90.38,measured,F
Doug McDermott,203926,84.32,measured,F
Zach LaVine,203897,82.42,measured,G
DeMar DeRozan,201942,83.39,measured,G-F
Domantas Sabonis,1627734,,imputed,F-C
Keegan Murray,1631099,,imputed,F
Mason Jones,1630222,71.85,measured,G
Jonas Valančiūnas,202685,,imputed,C
Markelle Fultz,1628365,,imputed,G
Devin Carter,1642269,89.51,measured,G
Keon Ellis,1631165,68.69,measured,G
Isaiah Crawford,1642384,,imputed,F
Jake LaRavia,1631222,84.71,measured,F
Trey Lyles,1626168,,imputed,F
Jae Crowder,203109,97.1,measured,F
Keldon Johnson,1629640,,imputed,F-G
Victor Wembanyama,1641705,,imputed,F-C
Chris Paul,101108,78.83,measured,G
De'Aaron Fox,1628368,,imputed,G
Stephon Castle,1642264,81.97,measured,G
David Duke Jr.,1630561,83.21,measured,G
Jeremy Sochan,1631110,,imputed,F
Jordan McLaughlin,1629162,,imputed,G
Blake Wesley,1631104,78.11,measured,G
Bismack Biyombo,202687,,imputed,C
Malaki Branham,1631103,78.43,measured,F
Devin Vassell,1630170,,imputed,G-F
Riley Minix,1642434,,imputed,F
Charles Bassey,1629646,98.11,measured,C-F
Charles Bassey,1629646,91.54,measured,C-F
Julian Champagnie,1630577,82.7,measured,F
Julian Champagnie,1630577,78.67,measured,F
Harrison Barnes,203084,108.67,measured,F
Sandro Mamukelashvili,1630572,95.43,measured,F-C
Harrison Ingram,1631127,90.0,measured,F
Harrison Ingram,1631127,90.95,measured,F
Shai Gilgeous-Alexander,1628983,,imputed,G
Dillon Jones,1641794,85.03,measured,F
Luguentz Dort,1629652,94.43,measured,G
Jaylin Williams,1631119,80.25,measured,F
Chet Holmgren,1631096,,imputed,C-F
Jalen Williams,1631114,92.12,measured,G-F
Alex Caruso,1627936,,imputed,G
Isaiah Joe,1630198,,imputed,G
Ousmane Dieng,1631172,,imputed,F
Adam Flagler,1641745,81.44,measured,G
Branden Carlson,1642382,,imputed,C
Aaron Wiggins,1630598,77.94,measured,G
Cason Wallace,1641717,76.66,measured,G
Ajay Mitchell,1642349,77.21,measured,G
Kenrich Williams,1629026,78.14,measured,G-F
Nikola Topić,1642260,,imputed,G
Isaiah Hartenstein,1628392,,imputed,C-F
Alex Ducas,1642505,,imputed,G
A.J. Lawson,1630639,,imputed,G
Gradey Dick,1641711,81.15,measured,G-F
Jonathan Mogbo,1642367,90.6,measured,F
Brandon Ingram,1627742,,imputed,F
Scottie Barnes,1630567,103.29,measured,F-G
Immanuel Quickley,1630193,76.69,measured,G
Jared Rhoden,1631197,,imputed,G
RJ Barrett,1629628,,imputed,F-G
Colin Castleton,1630658,,imputed,C
Ja'Kobe Walter,1642266,82.23,measured,G
Garrett Temple,202066,,imputed,G-F
Jakob Poeltl,1627751,,imputed,C
Ulrich Chomche,1642279,89.61,measured,C
Jamal Shead,1642347,82.34,measured,G
Chris Boucher,1628449,,imputed,F
Ochai Agbaji,1630534,91.56,measured,G
Ochai Agbaji,1630534,90.82,measured,G
Jamison Battle,1642419,,imputed,F
Jordan Clarkson,203903,83.35,measured,G
Taylor Hendricks,1641707,91.48,measured,F
Collin Sexton,1629012,,imputed,G
Keyonte George,1641718,,imputed,G
Cody Williams,1642262,77.03,measured,F
Jaden Springer,1630531,91.75,measured,G
Isaiah Collier,1642268,83.41,measured,G
Elijah Harkless,1641989,,imputed,G
Svi Mykhailiuk,1629004,81.47,measured,G-F
John Collins,1628381,96.47,measured,F-C
Kyle Filipowski,1642271,84.22,measured,C
Lauri Markkanen,1628374,,imputed,F-C
Walker Kessler,1631117,,imputed,C
Micah Potter,1630695,,imputed,C
Brice Sensabaugh,1641729,,imputed,F
Johnny Juzang,1630548,79.35,measured,G
Johnny Juzang,1630548,86.76,measured,G
Oscar Tshiebwe,1631131,97.19,measured,F-C
KJ Martin,1630231,,imputed,F
Zyon Pullin,1642389,,imputed,G
Jaylen Wells,1642377,78.78,measured,F
Scotty Pippen Jr.,1630590,76.81,measured,G
Kentavious Caldwell-Pope,203484,81.1,measured,G
Vince Williams Jr.,1631246,,imputed,G
Santi Aldama,1630583,,imputed,F-C
Lamar Stevens,1630205,102.01,measured,F
Luke Kennard,1628379,,imputed,G
Ja Morant,1629630,,imputed,G
Jaren Jackson Jr.,1628991,,imputed,F-C
Zach Edey,1641744,100.45,measured,C
Zach Edey,1641744,102.42,measured,C
Brandon Clarke,1629634,92.48,measured,F
Yuki Kawamura,1642530,,imputed,G
Cam Spencer,1642285,68.48,measured,G
Jay Huff,1630643,,imputed,C
Marvin Bagley III,1628963,,imputed,F
GG Jackson,1641713,88.55,measured,F
John Konchar,1629723,,imputed,G
Cole Anthony,1630175,,imputed,G
Bilal Coulibaly,1641731,,imputed,G
Tristan Vukcevic,1641774,80.15,measured,F
Colby Jones,1641732,82.76,measured,G
Jaylen Martin,1641798,,imputed,G
AJ Johnson,1642358,70.22,measured,G
Bub Carrington,1642267,,imputed,G
Justin Champagnie,1630551,77.79,measured,G-F
Jordan Poole,1629673,75.34,measured,G
Saddiq Bey,1630180,,imputed,G-F
Malcolm Brogdon,1627763,90.13,measured,G
Anthony Gill,1630264,,imputed,F
Kyshawn George,1642273,78.42,measured,F
Alex Sarr,1642259,,imputed,C
JT Thor,1630550,85.83,measured,F
Richaun Holmes,1626158,101.26,measured,F
Corey Kispert,1630557,89.37,measured,F
Khris Middleton,203114,82.6,measured,F
Marcus Smart,203935,97.21,measured,G
Jalen Duren,1631105,,imputed,C
Ronald Holland II,1641842,,imputed,F
Cade Cunningham,1630595,,imputed,G
Malik Beasley,1627736,,imputed,G
Paul Reed,1630194,,imputed,F
Tim Hardaway Jr.,203501,84.81,measured,G-F
Ausar Thompson,1641709,,imputed,G-F
Tobias Harris,202699,92.36,measured,F
Ron Harper Jr.,1631199,84.81,measured,G-F
Dennis Schröder,203471,71.18,measured,G
Simone Fontecchio,1631323,,imputed,F
Jaden Ivey,1631093,,imputed,G
Daniss Jenkins,1642450,,imputed,G
Marcus Sasser,1631204,74.85,measured,G
Isaiah Stewart,1630191,,imputed,F-C
Bobi Klintman,1641752,78.25,measured,F
Tolu Smith,1642449,,imputed,F
Lindy Waters III,1630322,,imputed,F
Miles Bridges,1628970,,imputed,F
LaMelo Ball,1630163,,imputed,G
Grant Williams,1629684,84.77,measured,F
DaQuan Jeffries,1629610,,imputed,G-F
Mark Williams,1631109,,imputed,C
Damion Baugh,1641878,,imputed,G
Nick Smith Jr.,1641733,,imputed,G
Wendell Moore Jr.,1631111,,imputed,G
Josh Green,1630182,87.44,measured,G
Jusuf Nurkić,203994,,imputed,C
Josh Okogie,1629006,91.74,measured,G
Moussa Diabaté,1631217,84.89,measured,F
Tre Mann,1630544,,imputed,G
Brandon Miller,1641706,,imputed,F
KJ Simpson,1642354,82.75,measured,G
Seth Curry,203552,,imputed,G
Tidjane Salaün,1642275,81.9,measured,F
Taj Gibson,201959,76.7,measured,F
